,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Maximum Speed,Country,Time Zone,Date and Time
0,narsaq,60.9167,-46.05,10.26,79,0,10.92,10.26,GL,-10800,1611699368
1,hilo,19.7297,-155.09,73.06,73,75,8.05,77.0,US,-36000,1611699368
2,barrow,71.2906,-156.7887,-13.0,77,1,6.91,-13.0,US,-32400,1611699368
3,cape town,-33.9258,18.4232,67.3,82,20,16.11,68.0,ZA,7200,1611699131
4,san vicente,-26.6167,-54.1333,72.07,94,95,4.94,72.07,AR,-10800,1611698777
5,mount gambier,-37.8333,140.7667,55.4,62,90,10.36,55.4,AU,37800,1611698777
6,beruwala,6.4788,79.9828,72.3,88,100,7.36,72.3,LK,19800,1611698777
7,lebu,-37.6167,-73.65,58.91,67,12,18.66,58.91,CL,-10800,1611698777
8,filingue,14.3521,3.3168,73.11,15,45,10.76,73.11,NE,3600,1611698777
9,butaritari,3.0707,172.7902,80.89,75,16,8.43,80.89,KI,43200,1611698777
10,clyde river,70.4692,-68.5914,5.0,78,20,27.63,5.0,CA,-18000,1611698777
11,rocha,-34.4833,-54.3333,76.87,77,98,4.79,76.87,UY,-10800,1611698778
12,tuktoyaktuk,69.4541,-133.0374,-18.4,83,40,11.5,-18.4,CA,-25200,1611698778
13,avarua,-21.2078,-159.775,86.0,70,20,18.41,86.0,CK,-36000,1611698778
14,tasiilaq,65.6145,-37.6368,6.1,85,100,7.43,6.1,GL,-10800,1611698779
15,dingle,10.9995,122.6711,72.77,90,97,7.36,72.77,PH,28800,1611698779
16,rikitea,-23.1203,-134.9692,80.08,70,64,10.89,80.08,PF,-32400,1611698780
17,sungaipenuh,-2.0833,101.3833,63.27,91,100,1.88,63.27,ID,25200,1611698780
18,tura,25.5198,90.2201,54.57,64,0,2.59,54.57,IN,19800,1611698780
19,margate,51.3813,1.3862,39.99,87,100,4.0,39.99,GB,0,1611698781
20,matagalpa,12.9256,-85.9175,78.73,56,10,11.39,78.73,NI,-21600,1611698781
21,castro,-24.7911,-50.0119,67.39,91,100,3.56,67.39,BR,-10800,1611698703
22,siocon,7.7061,122.1353,76.87,85,90,7.27,76.87,PH,28800,1611698781
23,upernavik,72.7868,-56.1549,0.59,87,99,11.92,0.59,GL,-10800,1611698782
24,college,64.8569,-147.8028,-10.52,84,75,0.34,-8.0,US,-32400,1611698782
25,longyearbyen,78.2186,15.6401,5.0,47,0,23.02,5.0,SJ,3600,1611698782
26,pimentel,-6.8367,-79.9342,74.73,68,52,15.39,74.73,PE,-18000,1611698782
27,katsuura,35.1333,140.3,46.35,93,75,3.44,46.99,JP,32400,1611698782
28,ushuaia,-54.8,-68.3,41.0,81,90,25.32,41.0,AR,-10800,1611698783
29,portland,45.5234,-122.6762,38.5,60,90,18.41,41.0,US,-28800,1611698716
30,egvekinot,66.3167,-179.1667,-16.19,87,66,10.56,-16.19,RU,43200,1611698783
31,foz,43.5692,-7.2544,57.45,100,90,5.01,59.0,ES,3600,1611698783
32,maniitsoq,65.4167,-52.9,13.42,87,68,5.66,13.42,GL,-10800,1611698783
33,norman wells,65.282,-126.8329,-18.4,76,75,4.61,-18.4,CA,-25200,1611698783
34,ribeira grande,38.5167,-28.7,64.4,88,75,20.71,64.4,PT,-3600,1611698784
35,sept-iles,50.2001,-66.3821,32.0,64,60,4.61,32.0,CA,-18000,1611698784
36,lorengau,-2.0226,147.2712,83.44,74,100,10.96,83.44,PG,36000,1611698784
37,santa cecilia,-26.9608,-50.4269,65.62,100,100,2.55,65.62,BR,-10800,1611698784
38,jamestown,42.097,-79.2353,34.93,93,90,12.66,36.0,US,-18000,1611698785
39,makakilo city,21.3469,-158.0858,78.55,61,40,11.5,78.8,US,-36000,1611698785
40,busselton,-33.65,115.3333,55.99,96,39,12.55,55.99,AU,28800,1611698785
41,ionia,42.9873,-85.0711,28.08,74,90,12.66,28.99,US,-18000,1611698526
42,arraial do cabo,-22.9661,-42.0278,78.8,78,0,19.57,78.8,BR,-10800,1611698786
43,kulu,39.0951,33.0799,43.3,77,100,15.1,43.3,TR,10800,1611698786
44,pochutla,15.7432,-96.4661,90.0,43,0,5.99,90.0,MX,-21600,1611698786
45,kiyasovo,56.3491,53.1244,17.29,97,100,9.15,17.29,RU,14400,1611698786
46,butterworth,5.3991,100.3638,76.59,88,20,1.14,78.8,MY,28800,1611698787
47,hermanus,-34.4187,19.2345,59.0,90,3,5.5,59.0,ZA,7200,1611698787
48,havelock,34.8791,-76.9013,58.5,100,90,6.91,60.01,US,-18000,1611698787
49,muros,42.7762,-9.0603,57.0,96,100,1.99,57.99,ES,3600,1611698787
50,mahebourg,-20.4081,57.7,73.4,88,20,4.61,73.4,MU,14400,1611698787
51,torbay,47.6666,-52.7314,32.38,100,90,20.71,33.01,CA,-12600,1611698724
52,tyrma,50.0833,132.1667,-5.51,90,100,0.76,-5.51,RU,36000,1611698787
53,axim,4.8699,-2.2405,78.82,86,88,6.8,78.82,GH,0,1611698788
54,bluff,-46.6,168.3333,75.0,53,100,10.0,75.0,NZ,46800,1611698788
55,nishihara,26.1842,127.7558,64.18,77,75,14.97,66.2,JP,32400,1611698788
56,bambous virieux,-20.3428,57.7575,74.62,88,20,4.61,75.99,MU,14400,1611698788
57,provideniya,64.3833,-173.3,6.8,78,75,11.18,6.8,RU,43200,1611698788
58,port alfred,-33.5906,26.891,69.01,95,90,1.01,69.01,ZA,7200,1611698789
59,irbil,36.1926,44.0106,42.8,56,100,1.14,42.8,IQ,10800,1611698789
60,punta arenas,-53.15,-70.9167,50.0,50,20,27.63,50.0,CL,-10800,1611698539
61,cidreira,-30.1811,-50.2056,76.95,86,70,11.54,76.95,BR,-10800,1611698646
62,brattleboro,42.8509,-72.5579,25.0,90,100,5.26,27.0,US,-18000,1611698789
63,tilichiki,60.4667,166.1,-11.72,90,100,15.46,-11.72,RU,43200,1611698789
64,stowe,40.2526,-75.6774,32.22,98,100,1.01,33.01,US,-18000,1611698789
65,ondjiva,-17.0667,15.7333,69.8,80,100,5.46,69.8,AO,3600,1611698790
66,mabaruma,8.2,-59.7833,76.17,80,99,5.03,76.17,GY,-14400,1611698790
67,jimenez,28.3333,-105.4,69.04,17,61,30.85,69.04,MX,-25200,1611698790
68,kavieng,-2.5744,150.7967,84.06,74,100,9.31,84.06,PG,36000,1611698790
69,corinth,37.9407,22.9573,54.0,61,100,15.99,54.0,GR,7200,1611698790
70,fukuma,33.7667,130.4667,50.25,71,75,10.36,52.0,JP,32400,1611698790
71,algiers,36.7525,3.042,48.2,93,40,5.12,48.2,DZ,3600,1611698734
