,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Maximum Speed,Country,Time Zone,Date and Time,Maximum Temperature
0,dikson,73.5069,80.5464,-21.69,86,100,8.39,-21.69,RU,25200,1611771322,-21.69
1,andros town,24.7,-77.7667,78.8,78,40,13.8,78.8,BS,-18000,1611771470,78.8
2,bonavista,48.6499,-53.1147,27.39,93,81,3.44,28.99,CA,-12600,1611771179,28.99
3,rudnogorsk,57.2639,103.7519,-24.45,85,100,3.89,-24.45,RU,28800,1611771470,-24.45
4,sao jose da coroa grande,-8.8978,-35.1478,81.37,74,91,11.05,81.37,BR,-10800,1611771470,81.37
5,natal,-5.795,-35.2094,86.0,66,40,20.71,86.0,BR,-10800,1611771384,86.0
6,east london,-33.0153,27.9116,68.0,88,75,5.75,68.0,ZA,7200,1611771284,68.0
7,caravelas,-17.7125,-39.2481,83.75,57,100,9.31,83.75,BR,-10800,1611771393,83.75
8,beloha,-25.1667,45.05,77.85,77,12,14.97,77.85,MG,10800,1611771401,77.85
9,punta arenas,-53.15,-70.9167,50.0,50,75,26.46,50.0,CL,-10800,1611771252,50.0
10,west wendover,40.7391,-114.0733,28.4,80,75,6.64,28.4,US,-25200,1611771393,28.4
11,leningradskiy,69.3833,178.4167,-19.1,87,100,3.67,-19.1,RU,43200,1611771335,-19.1
12,bluff,-46.6,168.3333,48.99,87,67,15.01,48.99,NZ,46800,1611770880,48.99
13,matara,5.9485,80.5353,74.97,79,72,4.21,74.97,LK,19800,1611771373,74.97
14,port alfred,-33.5906,26.891,66.0,94,91,1.99,66.0,ZA,7200,1611771314,66.0
15,tasiilaq,65.6145,-37.6368,21.2,45,90,24.16,21.2,GL,-10800,1611770908,21.2
16,dolinsk,47.35,142.8,17.6,73,75,8.95,17.6,RU,39600,1611771472,17.6
17,kapaa,22.0752,-159.319,73.18,88,90,13.8,73.4,US,-36000,1611770983,73.4
18,cidreira,-30.1811,-50.2056,80.64,74,98,8.57,80.64,BR,-10800,1611771308,80.64
19,thinadhoo,0.5333,72.9333,81.66,76,31,19.89,81.66,MV,18000,1611771373,81.66
20,jamestown,42.097,-79.2353,25.59,80,90,5.93,26.01,US,-18000,1611771126,26.01
21,otanche,5.6567,-74.1825,82.26,56,33,3.69,82.26,CO,-18000,1611771473,82.26
22,rikitea,-23.1203,-134.9692,79.7,72,1,13.89,79.7,PF,-32400,1611771282,79.7
23,bredasdorp,-34.5322,20.0403,64.4,55,80,3.44,64.4,ZA,7200,1611771148,64.4
24,saint-philippe,-21.3585,55.7679,75.22,69,20,5.53,80.6,RE,14400,1611771315,80.6
25,albany,42.6001,-73.9662,29.8,63,93,15.01,30.99,US,-18000,1611770884,30.99
26,zemio,5.0314,25.1361,83.07,27,45,3.69,83.07,CF,3600,1611771473,83.07
27,bilibino,68.0546,166.4372,-10.25,84,100,6.26,-10.25,RU,43200,1611771331,-10.25
28,margate,51.3813,1.3862,48.0,84,100,6.53,48.0,GB,0,1611771348,48.0
29,mar del plata,-38.0023,-57.5575,69.8,56,0,13.8,69.8,AR,-10800,1611771308,69.8
30,hermanus,-34.4187,19.2345,66.99,67,57,9.08,66.99,ZA,7200,1611771084,66.99
31,namibe,-15.1961,12.1522,76.44,73,88,11.01,76.44,AO,3600,1611771454,76.44
32,hasaki,35.7333,140.8333,36.84,75,75,10.36,37.4,JP,32400,1611771266,37.4
33,wuwei,37.9281,102.6414,20.17,76,0,2.13,20.17,CN,28800,1611771474,20.17
34,paamiut,61.994,-49.6678,24.75,83,27,6.93,24.75,GL,-10800,1611771355,24.75
35,chokurdakh,70.6333,147.9167,-18.13,87,100,14.0,-18.13,RU,39600,1611771329,-18.13
36,puerto baquerizo moreno,-0.9,-89.6,82.4,83,75,12.66,82.4,EC,-21600,1611771475,82.4
37,ulladulla,-35.35,150.4667,62.65,94,90,5.75,66.0,AU,39600,1611771475,66.0
38,ambon,-3.6954,128.1814,78.8,83,40,2.3,78.8,ID,32400,1611771475,78.8
39,pitimbu,-7.4706,-34.8086,86.0,62,40,14.97,86.0,BR,-10800,1611771475,86.0
40,bethel,41.3712,-73.414,33.24,69,90,12.66,34.0,US,-18000,1611771335,34.0
41,mon,26.75,95.1,55.08,79,0,3.15,55.08,IN,19800,1611771476,55.08
42,hithadhoo,-0.6,73.0833,81.09,80,19,15.57,81.09,MV,18000,1611770977,81.09
43,ushuaia,-54.8,-68.3,44.6,70,40,19.57,44.6,AR,-10800,1611770920,44.6
