,City,Latitude,Longitude,Temperature,Maximum Temperature,Humidity,Cloudiness,Wind Speed,Maximum Speed,Country,Time Zone,Date and Time
0,praia da vitoria,38.7333,-27.0667,63.81,64.4,82,75,21.3,64.4,PT,-3600,1612040003
1,severo-kurilsk,50.6789,156.125,23.45,23.45,95,100,31.07,23.45,RU,39600,1612040003
2,port lincoln,-34.7333,135.8667,60.31,60.31,80,0,13.38,60.31,AU,37800,1612040003
3,sondrio,46.169,9.8692,42.37,46.0,79,100,4.18,46.0,IT,3600,1612040003
4,sinnamary,5.3833,-52.95,79.09,79.09,86,100,14.2,79.09,GF,-10800,1612040003
5,miraflores,19.2167,-98.8083,75.69,77.0,25,40,5.55,77.0,MX,-21600,1612040003
6,sovetskiy,61.3614,63.5842,-3.86,-3.86,92,100,4.32,-3.86,RU,18000,1612040004
7,arraial do cabo,-22.9661,-42.0278,82.15,84.2,65,20,23.02,84.2,BR,-10800,1612040004
8,nong bua,15.8646,100.5858,73.99,73.99,61,0,6.38,73.99,TH,25200,1612040004
9,bandarbeyla,9.4942,50.8122,73.69,73.69,75,10,14.88,73.69,SO,10800,1612040004
10,kango,0.1943,10.0951,75.25,75.25,94,100,2.15,75.25,GA,3600,1612040004
11,puerto ayora,-0.7393,-90.3518,82.87,86.0,62,0,13.8,86.0,EC,-21600,1612040004
12,carnarvon,-24.8667,113.6333,80.6,80.6,94,4,6.91,80.6,AU,28800,1612040004
13,nhulunbuy,-12.2333,136.7667,78.8,78.8,89,87,8.05,78.8,AU,34200,1612040005
14,rikitea,-23.1203,-134.9692,78.78,78.78,76,2,13.06,78.78,PF,-32400,1612040005
15,mataura,-46.1927,168.8643,58.39,58.39,62,83,1.61,58.39,NZ,46800,1612040005
16,hilo,19.7297,-155.09,71.73,75.2,73,20,4.61,75.2,US,-36000,1612040005
17,atuona,-9.8,-139.0333,78.73,78.73,78,13,16.28,78.73,PF,-34200,1612040005
18,manga,11.6636,-1.0731,78.98,78.98,16,1,8.12,78.98,BF,0,1612040005
19,thompson,55.7435,-97.8558,14.0,14.0,85,75,1.92,14.0,CA,-21600,1612040006
20,bowen,-20.0167,148.2333,75.2,75.2,94,75,10.36,75.2,AU,36000,1612040006
21,hambantota,6.1241,81.1185,77.27,77.27,81,95,11.05,77.27,LK,19800,1612040006
22,provideniya,64.3833,-173.3,-12.66,-12.66,83,74,10.33,-12.66,RU,43200,1612040006
23,komsomolskiy,40.4272,71.7189,37.4,37.4,44,100,4.61,37.4,UZ,18000,1612040006
24,east london,-33.0153,27.9116,70.74,70.74,81,3,3.18,70.74,ZA,7200,1612040007
25,kapaa,22.0752,-159.319,74.32,75.0,88,75,17.27,75.0,US,-36000,1612040007
26,busselton,-33.65,115.3333,61.48,63.0,77,0,1.99,63.0,AU,28800,1612040007
27,saint-augustin,51.226,-58.6502,30.49,30.49,94,88,12.15,30.49,CA,-14400,1612040007
28,ushuaia,-54.8,-68.3,53.6,53.6,54,20,25.32,53.6,AR,-10800,1612039873
29,bluff,-46.6,168.3333,52.86,52.86,80,100,5.23,52.86,NZ,46800,1612040007
30,verkhoyansk,67.5447,133.385,-45.87,-45.87,75,89,0.74,-45.87,RU,36000,1612040007
31,nikolskoye,59.7035,30.7861,26.76,28.4,93,75,6.71,28.4,RU,10800,1612040008
32,guerrero negro,27.9769,-114.0611,64.4,64.4,48,0,17.94,64.4,MX,-25200,1612040008
33,jamestown,42.097,-79.2353,24.03,25.0,74,90,2.91,25.0,US,-18000,1612040008
34,barrow,71.2906,-156.7887,-9.4,-9.4,77,90,9.22,-9.4,US,-32400,1612040008
35,dikson,73.5069,80.5464,-35.93,-35.93,81,0,8.23,-35.93,RU,25200,1612040008
36,hithadhoo,-0.6,73.0833,82.0,82.0,78,62,16.04,82.0,MV,18000,1612040009
37,yokadouma,3.5167,15.05,73.49,73.49,76,100,2.75,73.49,CM,3600,1612040009
38,cruzeiro do sul,-29.5128,-51.9853,75.99,75.99,77,100,1.99,75.99,BR,-10800,1612040009
39,saskylakh,71.9167,114.0833,-36.2,-36.2,80,100,10.0,-36.2,RU,32400,1612040009
40,vanimo,-2.6741,141.3028,77.9,77.9,83,100,5.88,77.9,PG,36000,1612040009
41,pombas,17.1503,-25.0201,73.4,73.4,64,75,25.32,73.4,CV,-3600,1612040010
42,hailar,49.2,119.7,-19.39,-19.39,87,100,6.11,-19.39,CN,28800,1612040010
43,hobart,-42.8794,147.3294,55.72,57.0,71,20,10.36,57.0,AU,39600,1612039955
44,hermanus,-34.4187,19.2345,66.99,66.99,84,2,1.01,66.99,ZA,7200,1612040010
45,longyearbyen,78.2186,15.6401,-2.2,-2.2,60,20,19.57,-2.2,SJ,3600,1612040010
46,sur,22.5667,59.5289,66.83,66.83,56,0,9.98,66.83,OM,14400,1612040010
47,new norfolk,-42.7826,147.0587,53.51,57.0,72,10,2.62,57.0,AU,39600,1612040011
48,bambous virieux,-20.3428,57.7575,78.42,78.8,89,75,8.05,78.8,MU,14400,1612040011
49,ingham,42.6,-84.3833,28.49,28.99,64,90,8.05,28.99,US,-18000,1612040011
50,qaanaaq,77.484,-69.3632,-4.49,-4.49,73,100,1.5,-4.49,GL,-14400,1612040011
51,upernavik,72.7868,-56.1549,-9.72,-9.72,86,14,7.36,-9.72,GL,-10800,1612040011
52,labuhan,-6.8844,112.2051,76.89,76.89,87,100,8.14,76.89,ID,25200,1612040012
53,tiksi,71.6872,128.8694,-26.59,-26.59,86,100,5.79,-26.59,RU,32400,1612040012
54,peniche,39.3558,-9.3811,55.31,55.99,74,78,10.0,55.99,PT,0,1612040012
55,soyo,-6.1349,12.3689,80.19,80.19,85,100,8.84,80.19,AO,3600,1612040012
56,faanui,-16.4833,-151.75,81.28,81.28,70,93,6.51,81.28,PF,-36000,1612040012
57,mar del plata,-38.0023,-57.5575,62.19,62.6,63,90,18.41,62.6,AR,-10800,1612039991
58,mehamn,71.0357,27.8492,25.25,25.25,96,100,22.03,25.25,NO,3600,1612040013
59,zonguldak,41.25,31.8333,39.24,39.24,92,100,4.43,39.24,TR,10800,1612040013
60,sisimiut,66.9395,-53.6735,7.79,7.79,92,74,7.85,7.79,GL,-10800,1612040013
61,tura,25.5198,90.2201,50.72,50.72,45,0,2.39,50.72,IN,19800,1612040013
62,ola,59.5833,151.2833,-16.15,-16.15,81,88,17.76,-16.15,RU,39600,1612040013
63,rocha,-34.4833,-54.3333,72.46,72.46,76,100,17.6,72.46,UY,-10800,1612040014
64,victoria,22.2855,114.1577,59.86,62.01,72,17,1.01,62.01,HK,28800,1612039721
65,wonthaggi,-38.6044,145.5913,61.11,64.99,72,100,6.24,64.99,AU,39600,1612040014
66,mitsamiouli,-11.3847,43.2844,82.24,82.24,76,100,9.06,82.24,KM,10800,1612040014
67,tuktoyaktuk,69.4541,-133.0374,-34.6,-34.6,67,40,1.45,-34.6,CA,-25200,1612040014
68,sioux lookout,50.1001,-91.917,23.0,23.0,86,90,5.75,23.0,CA,-21600,1612040014
69,buta,2.7858,24.73,71.96,71.96,44,35,2.21,71.96,CD,7200,1612040015
70,cape town,-33.9258,18.4232,69.69,71.01,68,0,6.91,71.01,ZA,7200,1612040015
71,vrangel,42.7297,133.0839,2.03,2.03,83,0,8.79,2.03,RU,36000,1612040015
72,punta arenas,-53.15,-70.9167,59.0,59.0,47,0,31.07,59.0,CL,-10800,1612039940
73,vaini,-21.2,-175.2,78.8,78.8,94,75,6.91,78.8,TO,46800,1612040015
74,lethem,3.3803,-59.7968,88.57,88.57,51,37,13.27,88.57,GY,-14400,1612040015
75,ecoporanga,-18.3733,-40.8306,78.37,78.37,70,9,10.8,78.37,BR,-10800,1612040015
76,shimoda,34.6667,138.95,35.01,35.01,76,0,1.99,35.01,JP,32400,1612040016
77,douglas,41.3,-96.167,35.06,37.99,81,90,9.22,37.99,US,-21600,1612040016
78,albany,42.6001,-73.9662,20.16,21.0,46,12,8.99,21.0,US,-18000,1612039931
79,souillac,-20.5167,57.5167,78.8,78.8,89,75,8.05,78.8,MU,14400,1612040016
80,port alfred,-33.5906,26.891,64.99,64.99,91,49,1.01,64.99,ZA,7200,1612040016
81,faya,18.3851,42.4509,56.3,57.2,71,0,4.52,57.2,SA,10800,1612040017
82,progreso,21.2833,-89.6667,85.48,86.0,37,75,16.11,86.0,MX,-21600,1612039849
83,tilichiki,60.4667,166.1,-15.2,-15.2,90,100,19.37,-15.2,RU,43200,1612040017
84,sitka,57.0531,-135.33,39.2,39.2,60,75,5.75,39.2,US,-32400,1612040017
85,la union,-5.4,-80.75,88.03,88.03,42,8,17.05,88.03,PE,-18000,1612040017
86,cabo san lucas,22.8909,-109.9124,76.69,77.0,57,20,3.44,77.0,MX,-25200,1612040015
87,iqaluit,63.7506,-68.5145,-9.2,-9.0,77,20,18.41,-9.0,CA,-18000,1612040017
88,povenets,62.8487,34.8262,17.8,17.8,97,100,5.41,17.8,RU,10800,1612040018
89,villa carlos paz,-31.4241,-64.4978,70.47,72.0,77,75,16.11,72.0,AR,-10800,1612040018
90,bekeshevskaya,44.1139,42.4269,37.2,37.4,93,90,15.66,37.4,RU,10800,1612040018
91,summerville,33.0185,-80.1757,51.13,52.0,46,75,5.75,52.0,US,-18000,1612039893
92,khatanga,71.9667,102.5,-46.17,-46.17,77,28,0.98,-46.17,RU,25200,1612040018
93,yellowknife,62.456,-114.3525,-11.52,-7.01,76,75,3.44,-7.01,CA,-25200,1612040018
94,koumac,-20.5667,164.2833,77.31,77.31,70,67,4.9,77.31,NC,39600,1612040018
95,vao,-22.6667,167.4833,75.34,75.34,82,94,26.53,75.34,NC,39600,1612040019
96,tabuk,17.4189,121.4443,63.43,63.43,87,100,3.09,63.43,PH,28800,1612040019
97,kawhia,-38.0651,174.8183,66.45,66.99,49,0,1.99,66.99,NZ,46800,1612040019
98,ancud,-41.8697,-73.8203,63.34,66.2,48,0,6.91,66.2,CL,-10800,1612040019
99,avarua,-21.2078,-159.775,82.4,82.4,74,100,4.61,82.4,CK,-36000,1612040019
100,ripoll,42.2006,2.1903,38.82,44.01,68,97,2.77,44.01,ES,3600,1612040020
101,kodiak,57.79,-152.4072,32.0,32.0,51,1,26.46,32.0,US,-32400,1612040020
102,gwadar,25.1216,62.3254,67.73,67.73,65,0,7.45,67.73,PK,18000,1612040020
103,saint-pierre,-21.3393,55.4781,76.6,78.8,65,0,4.61,78.8,RE,14400,1612040020
104,castro,-24.7911,-50.0119,67.14,67.14,96,99,4.23,67.14,BR,-10800,1612040020
105,maceio,-9.6658,-35.7353,78.8,78.8,89,75,4.61,78.8,BR,-10800,1612040020
106,chivay,-15.6383,-71.6011,56.12,56.12,45,69,12.35,56.12,PE,-18000,1612040021
107,lebu,-37.6167,-73.65,61.75,61.75,69,3,12.28,61.75,CL,-10800,1612040021
108,bardiyah,31.7561,25.0865,62.67,62.67,56,0,16.37,62.67,LY,7200,1612040021
109,roma,43.2128,-75.4557,17.22,19.0,62,90,13.8,19.0,US,-18000,1612039925
110,solnechnyy,50.7214,136.6319,-14.33,-14.33,86,54,4.05,-14.33,RU,36000,1612040022
111,lavrentiya,65.5833,-171.0,-18.44,-18.44,83,0,6.44,-18.44,RU,43200,1612040022
112,saurimo,-9.6608,20.3916,66.43,66.43,95,100,1.72,66.43,AO,3600,1612040022
113,shenkursk,62.1091,42.896,21.45,21.45,98,100,5.55,21.45,RU,10800,1612040022
114,chokurdakh,70.6333,147.9167,-29.15,-29.15,86,44,7.49,-29.15,RU,39600,1612040022
115,mahebourg,-20.4081,57.7,78.8,78.8,89,75,8.05,78.8,MU,14400,1612040023
