,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Maximum Speed,Country,Time Zone,Date and Time
0,saint-philippe,-21.3585,55.7679,72.54,69,0,6.91,75.2,RE,14400,1611703749
1,norman wells,65.282,-126.8329,-18.4,76,75,6.67,-18.4,CA,-25200,1611703749
2,port hedland,-20.3167,118.5667,78.8,65,19,5.75,78.8,AU,28800,1611703749
3,acapulco,16.8634,-99.8901,81.84,63,12,7.94,81.84,MX,-21600,1611703673
4,chuy,-33.6971,-53.4616,78.28,70,99,5.14,78.28,UY,-10800,1611703750
5,havelock,34.8791,-76.9013,57.69,100,90,4.61,59.0,US,-18000,1611703480
6,port alfred,-33.5906,26.891,69.01,95,92,4.14,69.01,ZA,7200,1611703750
7,druzhba,52.0428,33.9453,30.87,95,97,16.62,30.87,UA,7200,1611703750
8,estelle,29.8458,-90.1067,65.64,100,90,8.05,68.0,US,-21600,1611703750
9,rikitea,-23.1203,-134.9692,80.33,70,70,9.84,80.33,PF,-32400,1611703750
10,milkovo,54.7167,158.6167,15.37,96,100,0.58,15.37,RU,43200,1611703750
11,kalispell,48.1958,-114.3129,26.55,68,90,1.05,27.0,US,-25200,1611703651
12,baykit,61.67,96.37,-45.08,72,58,2.19,-45.08,RU,25200,1611703751
13,lorengau,-2.0226,147.2712,84.27,72,100,11.3,84.27,PG,36000,1611703751
14,qaanaaq,77.484,-69.3632,-14.91,64,0,7.43,-14.91,GL,-14400,1611703751
15,east london,-33.0153,27.9116,73.81,82,100,10.89,73.81,ZA,7200,1611703751
16,mataura,-46.1927,168.8643,78.01,46,100,11.99,78.01,NZ,46800,1611703751
17,bredasdorp,-34.5322,20.0403,59.0,82,20,4.61,59.0,ZA,7200,1611703752
18,geraldton,-28.7667,114.6,68.99,70,28,16.02,68.99,AU,28800,1611703752
19,castro,-24.7911,-50.0119,65.5,92,100,3.62,65.5,BR,-10800,1611703752
20,barrow,71.2906,-156.7887,-14.8,76,75,8.05,-14.8,US,-32400,1611703752
21,albany,42.6001,-73.9662,25.75,77,100,8.68,28.0,US,-18000,1611703753
22,margate,51.3813,1.3862,41.0,89,100,5.99,41.0,GB,0,1611703753
23,busselton,-33.65,115.3333,60.01,97,44,1.99,60.01,AU,28800,1611703753
24,port elizabeth,-33.918,25.5701,68.0,94,40,8.05,68.0,ZA,7200,1611703673
25,leningradskiy,69.3833,178.4167,-19.53,86,98,8.72,-19.53,RU,43200,1611703753
26,vaini,-21.2,-175.2,82.4,83,75,11.5,82.4,TO,46800,1611703754
27,iqaluit,63.7506,-68.5145,-5.39,71,1,18.41,-5.01,CA,-18000,1611703754
28,broken hill,-31.95,141.4333,68.0,68,0,14.97,68.0,AU,37800,1611703754
29,puerto ayora,-0.7393,-90.3518,78.01,92,57,8.01,78.01,EC,-21600,1611703754
30,nortelandia,-14.4547,-56.8028,80.28,73,85,3.18,80.28,BR,-14400,1611703754
31,dongsheng,39.8161,109.9776,17.53,79,47,14.41,17.53,CN,28800,1611703754
32,punta arenas,-53.15,-70.9167,46.2,61,0,26.46,46.4,CL,-10800,1611703754
33,olinda,-8.0089,-34.8553,75.2,78,75,11.5,75.2,BR,-10800,1611703552
34,tiznit,29.5833,-9.5,63.91,41,0,2.51,63.91,MA,3600,1611703755
35,bluff,-46.6,168.3333,78.01,46,100,11.99,78.01,NZ,46800,1611703755
36,tomatlan,19.9333,-105.25,84.61,36,34,9.89,84.61,MX,-21600,1611703755
37,longyearbyen,78.2186,15.6401,5.0,51,0,17.27,5.0,SJ,3600,1611703755
38,georgetown,5.4112,100.3354,76.08,88,20,4.61,78.01,MY,28800,1611703755
39,stephenville,32.2207,-98.2023,57.25,41,1,8.05,59.0,US,-21600,1611703755
40,imbituba,-28.24,-48.6703,78.8,83,75,11.5,78.8,BR,-10800,1611703756
41,zhanakorgan,43.9098,67.2495,22.01,87,0,0.98,22.01,KZ,18000,1611703756
42,karratha,-20.7377,116.8463,86.22,23,9,13.62,86.22,AU,28800,1611703756
43,lichinga,-13.3128,35.2406,64.2,94,75,5.75,64.4,MZ,7200,1611703756
44,dikson,73.5069,80.5464,-24.77,85,100,6.78,-24.77,RU,25200,1611703756
45,abu samrah,35.3029,37.1841,45.84,56,100,7.7,45.84,SY,7200,1611703757
46,maumere,-8.6199,122.2111,80.46,76,100,2.51,80.46,ID,28800,1611703757
47,mahebourg,-20.4081,57.7,73.4,83,20,5.75,73.4,MU,14400,1611703757
48,kodiak,57.79,-152.4072,39.2,48,1,9.22,39.2,US,-32400,1611703757
49,torbay,47.6666,-52.7314,32.54,100,90,23.02,34.0,CA,-12600,1611703758
50,katsuura,35.1333,140.3,48.24,81,75,3.44,48.99,JP,32400,1611703758
51,ancud,-41.8697,-73.8203,54.18,55,75,10.36,60.8,CL,-10800,1611703758
